frame_name,coordinates
00096.jpg,[]
00097.jpg,[]
00098.jpg,[]
00099.jpg,"[{'contour_0': (1158, 52, 122, 76)}]"
00100.jpg,[]
00101.jpg,[]
00102.jpg,"[{'contour_0': (480, 553, 149, 70)}]"
00103.jpg,"[{'contour_0': (608, 294, 125, 67)}, {'contour_1': (78, 84, 142, 58)}]"
00104.jpg,"[{'contour_0': (227, 163, 72, 21)}]"
00105.jpg,"[{'contour_0': (788, 698, 105, 22)}, {'contour_1': (307, 201, 69, 24)}, {'contour_2': (229, 165, 70, 23)}]"
00106.jpg,"[{'contour_0': (388, 244, 69, 22)}, {'contour_1': (308, 205, 67, 21)}]"
00107.jpg,"[{'contour_0': (389, 244, 69, 24)}]"
00108.jpg,"[{'contour_0': (476, 284, 104, 31)}]"
00109.jpg,[]
00110.jpg,"[{'contour_0': (558, 293, 106, 56)}]"
00111.jpg,[]
00112.jpg,"[{'contour_0': (916, 506, 72, 23)}, {'contour_1': (829, 454, 72, 30)}]"
00113.jpg,"[{'contour_0': (1008, 552, 69, 23)}, {'contour_1': (917, 506, 72, 20)}]"
00114.jpg,"[{'contour_0': (1007, 552, 69, 22)}]"
00115.jpg,"[{'contour_0': (1191, 651, 89, 17)}]"
00116.jpg,"[{'contour_0': (1192, 651, 88, 16)}]"
00117.jpg,[]
00118.jpg,[]
00119.jpg,[]
00120.jpg,[]
00121.jpg,[]
00122.jpg,[]
00123.jpg,[]
00124.jpg,[]
00125.jpg,"[{'contour_0': (49, 604, 110, 35)}]"
00126.jpg,"[{'contour_0': (81, 462, 80, 50)}]"
00127.jpg,"[{'contour_0': (244, 684, 86, 36)}, {'contour_1': (573, 653, 132, 67)}]"
00128.jpg,"[{'contour_0': (630, 682, 61, 38)}, {'contour_1': (472, 500, 111, 63)}]"
00129.jpg,"[{'contour_0': (29, 662, 92, 58)}, {'contour_1': (449, 652, 127, 68)}]"
00130.jpg,[]
00131.jpg,"[{'contour_0': (188, 695, 76, 25)}, {'contour_1': (49, 637, 114, 54)}]"
00132.jpg,"[{'contour_0': (150, 694, 112, 26)}]"
00133.jpg,[]
00134.jpg,[]
00135.jpg,"[{'contour_0': (647, 288, 98, 57)}]"
00136.jpg,[]
00137.jpg,[]
00138.jpg,[]
00139.jpg,"[{'contour_0': (408, 634, 179, 53)}]"
00140.jpg,"[{'contour_0': (286, 505, 208, 75)}, {'contour_1': (663, 287, 82, 49)}, {'contour_2': (618, 35, 185, 103)}]"
00141.jpg,"[{'contour_0': (654, 653, 124, 67)}, {'contour_1': (656, 56, 186, 101)}]"
00142.jpg,"[{'contour_0': (698, 76, 181, 98)}]"
00143.jpg,"[{'contour_0': (706, 699, 104, 21)}, {'contour_1': (739, 93, 180, 100)}]"
00144.jpg,"[{'contour_0': (780, 112, 184, 100)}]"
00145.jpg,"[{'contour_0': (821, 131, 183, 102)}]"
00146.jpg,"[{'contour_0': (425, 652, 160, 68)}, {'contour_1': (665, 284, 80, 51)}, {'contour_2': (861, 151, 186, 104)}]"
00147.jpg,"[{'contour_0': (853, 401, 392, 179)}, {'contour_1': (641, 270, 104, 67)}, {'contour_2': (903, 171, 181, 99)}]"
00148.jpg,"[{'contour_0': (464, 683, 207, 37)}, {'contour_1': (945, 189, 179, 100)}]"
00149.jpg,"[{'contour_0': (987, 206, 183, 104)}]"
00150.jpg,"[{'contour_0': (1148, 312, 132, 86)}, {'contour_1': (640, 280, 111, 50)}]"
00151.jpg,"[{'contour_0': (984, 687, 159, 33)}, {'contour_1': (639, 270, 136, 66)}]"
00152.jpg,"[{'contour_0': (599, 643, 106, 36)}, {'contour_1': (1207, 372, 73, 36)}]"
00153.jpg,"[{'contour_0': (755, 243, 89, 23)}]"
00154.jpg,"[{'contour_0': (755, 244, 187, 69)}]"
00155.jpg,"[{'contour_0': (425, 275, 62, 38)}]"
00156.jpg,[]
00157.jpg,[]
00158.jpg,[]
00159.jpg,[]
00160.jpg,"[{'contour_0': (882, 486, 62, 38)}]"
00161.jpg,"[{'contour_0': (704, 655, 204, 65)}]"
00162.jpg,"[{'contour_0': (1193, 628, 87, 36)}, {'contour_1': (188, 608, 172, 63)}]"
00163.jpg,"[{'contour_0': (770, 694, 197, 26)}]"
00164.jpg,"[{'contour_0': (641, 258, 102, 53)}]"
00165.jpg,[]
00166.jpg,[]
00167.jpg,[]
00168.jpg,"[{'contour_0': (725, 651, 129, 69)}, {'contour_1': (637, 247, 154, 97)}]"
00169.jpg,"[{'contour_0': (327, 662, 116, 58)}, {'contour_1': (638, 251, 104, 54)}]"
00170.jpg,"[{'contour_0': (775, 700, 132, 20)}]"
00171.jpg,"[{'contour_0': (701, 651, 145, 69)}]"
00172.jpg,[]
00173.jpg,[]
00174.jpg,[]
00175.jpg,"[{'contour_0': (718, 651, 154, 69)}]"
00176.jpg,"[{'contour_0': (733, 651, 147, 69)}]"
00177.jpg,"[{'contour_0': (588, 651, 191, 69)}, {'contour_1': (450, 651, 155, 69)}]"
00178.jpg,[]
00179.jpg,"[{'contour_0': (646, 673, 116, 47)}, {'contour_1': (745, 651, 147, 69)}]"
00180.jpg,[]
00181.jpg,[]
00182.jpg,[]
00183.jpg,[]
00184.jpg,"[{'contour_0': (808, 672, 101, 48)}]"
00185.jpg,"[{'contour_0': (772, 653, 142, 67)}]"
00186.jpg,"[{'contour_0': (572, 205, 102, 66)}]"
00187.jpg,[]
00188.jpg,"[{'contour_0': (811, 39, 189, 125)}]"
00189.jpg,[]
00190.jpg,"[{'contour_0': (1157, 26, 123, 40)}, {'contour_1': (583, 218, 128, 83)}]"
00191.jpg,[]
00192.jpg,[]
00193.jpg,[]
00194.jpg,[]
00195.jpg,[]
00196.jpg,[]
00197.jpg,[]
00198.jpg,[]
00199.jpg,[]
00200.jpg,"[{'contour_0': (624, 704, 123, 16)}, {'contour_1': (637, 202, 92, 51)}]"
00201.jpg,[]
00202.jpg,"[{'contour_0': (622, 193, 98, 61)}]"
00203.jpg,[]
00204.jpg,[]
00205.jpg,"[{'contour_0': (607, 651, 97, 38)}, {'contour_1': (598, 218, 126, 81)}]"
00206.jpg,"[{'contour_0': (621, 202, 145, 89)}]"
00207.jpg,[]
00208.jpg,[]
00209.jpg,"[{'contour_0': (832, 259, 448, 260)}]"
00210.jpg,"[{'contour_0': (909, 345, 371, 177)}]"
00211.jpg,[]
00212.jpg,[]
00213.jpg,"[{'contour_0': (438, 651, 128, 69)}]"
00214.jpg,"[{'contour_0': (778, 651, 152, 69)}]"
00215.jpg,"[{'contour_0': (815, 262, 465, 270)}]"
00216.jpg,"[{'contour_0': (572, 676, 156, 44)}]"
00217.jpg,[]
00218.jpg,[]
00219.jpg,"[{'contour_0': (753, 651, 153, 69)}]"
00220.jpg,[]
00221.jpg,[]
00222.jpg,[]
00223.jpg,"[{'contour_0': (494, 683, 186, 37)}, {'contour_1': (725, 651, 152, 69)}]"
00224.jpg,[]
00225.jpg,"[{'contour_0': (780, 280, 500, 285)}]"
00226.jpg,"[{'contour_0': (791, 307, 312, 175)}]"
00227.jpg,"[{'contour_0': (104, 369, 273, 128)}, {'contour_1': (777, 284, 503, 282)}]"
00228.jpg,"[{'contour_0': (692, 651, 154, 69)}]"
00229.jpg,"[{'contour_0': (681, 651, 152, 69)}]"
00230.jpg,[]
00231.jpg,[]
00232.jpg,"[{'contour_0': (662, 651, 155, 69)}]"
00233.jpg,"[{'contour_0': (166, 687, 171, 33)}, {'contour_1': (653, 651, 153, 69)}, {'contour_2': (936, 431, 326, 149)}]"
00234.jpg,"[{'contour_0': (18, 357, 422, 195)}]"
00235.jpg,"[{'contour_0': (126, 413, 300, 136)}, {'contour_1': (754, 303, 326, 201)}]"
00236.jpg,"[{'contour_0': (750, 304, 323, 202)}]"
00237.jpg,"[{'contour_0': (620, 651, 158, 69)}]"
00238.jpg,"[{'contour_0': (610, 651, 158, 69)}, {'contour_1': (206, 461, 200, 90)}, {'contour_2': (874, 419, 346, 159)}]"
00239.jpg,"[{'contour_0': (119, 699, 141, 21)}, {'contour_1': (751, 335, 459, 244)}]"
00240.jpg,[]
00241.jpg,[]
00242.jpg,[]
00243.jpg,[]
00244.jpg,[]
00245.jpg,"[{'contour_0': (740, 351, 222, 133)}, {'contour_1': (24, 60, 349, 156)}]"
00246.jpg,[]
00247.jpg,[]
00248.jpg,[]
00249.jpg,[]
00250.jpg,[]
00251.jpg,[]
00252.jpg,[]
00253.jpg,[]
00254.jpg,[]
00255.jpg,[]
00256.jpg,[]
00257.jpg,[]
00258.jpg,[]
00259.jpg,[]
00260.jpg,[]
00261.jpg,[]
00262.jpg,[]
